i,Variable,Definition
2024,D150_L4_HISPOld,Adjusted cohort count for completion rate of Hispanic students at less-than-four-year institutions (denominator of 150% completion rate)
2025,ACCREDCODE,Code corresponding to accreditor (as captured from PEPS)
2026,T4APPROVALDATE,Date that institution was first approved to participate in Title IV aid programs
2027,OMACHT6_FTFT,"Adjusted cohort count of full-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)"
2028,OMAWDP6_FTFT,"Percentage of full-time, first-time student receiving an award within 6 years of entry"
2029,OMACHT8_FTFT,"Adjusted cohort count of full-time, first-time students (denominator for the 8-year outcomes percentages)"
2030,OMAWDP8_FTFT,"Percentage of full-time, first-time student receiving an award within 8 years of entry"
2031,OMENRYP8_FTFT,"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry"
2032,OMENRAP8_FTFT,"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry"
2033,OMENRUP8_FTFT,"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry"
2034,OMACHT6_PTFT,"Adjusted cohort count of part-time, first-time students (denominator for the percentage receiving an award within 6 years of entry)"
2035,OMAWDP6_PTFT,"Percentage of part-time, first-time student receiving an award within 6 years of entry"
2036,OMACHT8_PTFT,"Adjusted cohort count of part-time, first-time students (denominator for the 8-year outcomes percentages)"
2037,OMAWDP8_PTFT,"Percentage of part-time, first-time student receiving an award within 8 years of entry"
2038,OMENRYP8_PTFT,"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry"
2039,OMENRAP8_PTFT,"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry"
2040,OMENRUP8_PTFT,"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry"
2041,OMACHT6_FTNFT,"Adjusted cohort count of full-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)"
2042,OMAWDP6_FTNFT,"Percentage of full-time, not first-time student receiving an award within 6 years of entry"
2043,OMACHT8_FTNFT,"Adjusted cohort count of full-time, not first-time students (denominator for the 8-year outcomes percentages)"
2044,OMAWDP8_FTNFT,"Percentage of full-time, not first-time student receiving an award within 8 years of entry"
2045,OMENRYP8_FTNFT,"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry"
2046,OMENRAP8_FTNFT,"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry"
2047,OMENRUP8_FTNFT,"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry"
2048,OMACHT6_PTNFT,"Adjusted cohort count of part-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry)"
2049,OMAWDP6_PTNFT,"Percentage of part-time, not first-time student receiving an award within 6 years of entry"
2050,OMACHT8_PTNFT,"Adjusted cohort count of part-time, not first-time students (denominator for the 8-year outcomes percentages)"
2051,OMAWDP8_PTNFT,"Percentage of part-time, not first-time student receiving an award within 8 years of entry"
2052,OMENRYP8_PTNFT,"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry"
2053,OMENRAP8_PTNFT,"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry"
2054,OMENRUP8_PTNFT,"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry"
2055,RET_FT4_POOLED,"First-time, full-time student retention rate at four-year institutions"
2056,RET_FTL4_POOLED,"First-time, full-time student retention rate at less-than-four-year institutions"
2057,RET_PT4_POOLED,"First-time, part-time student retention rate at four-year institutions"
2058,RET_PTL4_POOLED,"First-time, part-time student retention rate at less-than-four-year institutions"
2059,RET_FT_DEN4_POOLED,"Adjusted cohort count for the first-time, full-time student retention rate at four-year institutions (denominator of the retention rate)"
2060,RET_FT_DENL4_POOLED,"Adjusted cohort count for the first-time, full-time student retention rate at less-than-four-year institutions (denominator of the retention rate)"
2061,RET_PT_DEN4_POOLED,"Adjusted cohort count for the first-time, part-time student retention rate at four-year institutions (denominator of the retention rate)"
2062,RET_PT_DENL4_POOLED,"Adjusted cohort count for the first-time, part-time student retention rate at less-than-four-year institutions (denominator of the retention rate)"
2063,POOLYRSRET_FT,Years used for rolling averages of full-time retention rate RET_FT[4/L4]_POOLED
2064,POOLYRSRET_PT,Years used for rolling averages of part-time retention rate RET_PT[4/L4]_POOLED
2065,RET_FT4_POOLED_SUPP,"First-time, full-time student retention rate at four-year institutions"
2066,RET_FTL4_POOLED_SUPP,"First-time, full-time student retention rate at less-than-four-year institutions"
2067,RET_PT4_POOLED_SUPP,"First-time, part-time student retention rate at four-year institutions"
2068,RET_PTL4_POOLED_SUPP,"First-time, part-time student retention rate at less-than-four-year institutions"
2069,TRANS_4_POOLED,"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)"
2070,TRANS_L4_POOLED,"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)"
2071,DTRANS_4_POOLED,Adjusted cohort count for transfer rate at four-year institutions (denominator of 150% transfer rate)
2072,DTRANS_L4_POOLED,Adjusted cohort count for transfer rate at less-than-four-year institutions (denominator of 150% transfer rate)
2073,TRANS_4_POOLED_SUPP,"Transfer rate for first-time, full-time students at four-year institutions (within 150% of expected time to completion/6 years)"
2074,TRANS_L4_POOLED_SUPP,"Transfer rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)"
2075,C100_4_POOLED,"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion), pooled for rolling averages"
2076,C100_L4_POOLED,"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion), pooled for rolling averages"
2077,D100_4_POOLED,"Adjusted cohort count for completion rate at four-year institutions (denominator of 100% completion rate), pooled for rolling averages"
2078,D100_L4_POOLED,"Adjusted cohort count for completion rate at less-than-four-year institutions (denominator of 100% completion rate), pooled for rolling averages"
2079,POOLYRS100,Years used for rolling averages of completion rate C100_[4/L4]_POOLED
2080,C100_4_POOLED_SUPP,"Completion rate for first-time, full-time students at four-year institutions (100% of expected time to completion), pooled for rolling averages and suppressed for small n size."
2081,C100_L4_POOLED_SUPP,"Completion rate for first-time, full-time students at less-than-four-year institutions (100% of expected time to completion), pooled for rolling averages and suppressed for small n size."
2082,C150_4_PELL,"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)"
2083,D150_4_PELL,Adjusted cohort count for Pell Grant recipient completion rate at four-year institutions (denominator of 150% Pell Grant recipient completion rate)
2084,C150_L4_PELL,"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)"
2085,D150_L4_PELL,Adjusted cohort count for Pell Grant recipient completion rate at less-than-four-year institutions (denominator of 150% Pell Grant recipient completion rate)
2086,C150_4_LOANNOPELL,"Completion rate for first-time, full-time students receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)"
2087,D150_4_LOANNOPELL,Adjusted cohort count for Direct Subsidized Loan recipients who did not receive a Pell Grant completion rate at four-year institutions (denominator of 150% Direct Subsidized Loan recipient who did not receive a Pell Grant completion rate)
2088,C150_L4_LOANNOPELL,"Completion rate for first-time, full-time students receiving a Direct Subsidized Loan but not a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)"
2089,D150_L4_LOANNOPELL,Adjusted cohort count for Direct Subsidized Loan recipients who did not receive a Pell Grant completion rate at less-than-four-year institutions (denominator of 150% Direct Subsidized Loan recipient who did not receive a Pell Grant completion rate)
2090,C150_4_NOLOANNOPELL,"Completion rate for first-time, full-time students receiving neither a Direct Subsidized Loan or a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)"
2091,D150_4_NOLOANNOPELL,Adjusted cohort count for those who did not receive a Direct Subsidized Loan or a Pell Grant completion rate at four-year institutions (denominator of 150% did not receive a Direct Subsidized Loan or Pell Grant completion rate)
2092,C150_L4_NOLOANNOPELL,"Completion rate for first-time, full-time students receiving neither a Direct Subsidized Loan or a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)"
2093,D150_L4_NOLOANNOPELL,Adjusted cohort count for those who did not receive a Direct Subsidized Loan or a Pell Grant completion rate at less-than-four-year institutions (denominator of 150% did not receive a Direct Subsidized Loan or Pell Grant completion rate)
2094,OMACHT6_FTFT_POOLED,"Adjusted cohort count of full-time, first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years."
2095,OMAWDP6_FTFT_POOLED,"Percentage of full-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages."
2096,OMACHT8_FTFT_POOLED,"Adjusted cohort count of full-time, first-time students (denominator for the 8-year outcomes percentages), pooled across years."
2097,OMAWDP8_FTFT_POOLED,"Percentage of full-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages."
2098,OMENRYP8_FTFT_POOLED,"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages."
2099,OMENRAP8_FTFT_POOLED,"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages."
2100,OMENRUP8_FTFT_POOLED,"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages."
2101,OMACHT6_PTFT_POOLED,"Adjusted cohort count of part-time, first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years."
2102,OMAWDP6_PTFT_POOLED,"Percentage of part-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages."
2103,OMACHT8_PTFT_POOLED,"Adjusted cohort count of part-time, first-time students (denominator for the 8-year outcomes percentages), pooled across years."
2104,OMAWDP8_PTFT_POOLED,"Percentage of part-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages."
2105,OMENRYP8_PTFT_POOLED,"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages."
2106,OMENRAP8_PTFT_POOLED,"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages."
2107,OMENRUP8_PTFT_POOLED,"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages."
2108,OMACHT6_FTNFT_POOLED,"Adjusted cohort count of full-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years."
2109,OMAWDP6_FTNFT_POOLED,"Percentage of full-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages."
2110,OMACHT8_FTNFT_POOLED,"Adjusted cohort count of full-time, not first-time students (denominator for the 8-year outcomes percentages), pooled across years."
2111,OMAWDP8_FTNFT_POOLED,"Percentage of full-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages."
2112,OMENRYP8_FTNFT_POOLED,"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages."
2113,OMENRAP8_FTNFT_POOLED,"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages."
2114,OMENRUP8_FTNFT_POOLED,"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages."
2115,OMACHT6_PTNFT_POOLED,"Adjusted cohort count of part-time, not first-time students (denominator for the percentage receiving an award within 6 years of entry), pooled across years."
2116,OMAWDP6_PTNFT_POOLED,"Percentage of part-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages."
2117,OMACHT8_PTNFT_POOLED,"Adjusted cohort count of part-time, not first-time students (denominator for the 8-year outcomes percentages), pooled across years."
2118,OMAWDP8_PTNFT_POOLED,"Percentage of part-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages."
2119,OMENRYP8_PTNFT_POOLED,"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages."
2120,OMENRAP8_PTNFT_POOLED,"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages."
2121,OMENRUP8_PTNFT_POOLED,"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages."
2122,POOLYRSOM_FTFT,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_FTFT_POOLED
2123,POOLYRSOM_PTFT,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PTFT_POOLED
2124,POOLYRSOM_FTNFT,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_FTNFT_POOLED
2125,POOLYRSOM_PTNFT,Years used for rolling averages of outcome metrics OM[ACHT6/AWDP6/ACHT8/AWDP8/ENRAP8/ENRYP8/ENRUP8]_PTNFT_POOLED
2126,OMAWDP6_FTFT_POOLED_SUPP,"Percentage of full-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size"
2127,OMAWDP8_FTFT_POOLED_SUPP,"Percentage of full-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2128,OMENRYP8_FTFT_POOLED_SUPP,"Percentage of full-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2129,OMENRAP8_FTFT_POOLED_SUPP,"Percentage of full-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2130,OMENRUP8_FTFT_POOLED_SUPP,"Percentage of full-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2131,OMAWDP6_PTFT_POOLED_SUPP,"Percentage of part-time, first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size"
2132,OMAWDP8_PTFT_POOLED_SUPP,"Percentage of part-time, first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2133,OMENRYP8_PTFT_POOLED_SUPP,"Percentage of part-time, first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2134,OMENRAP8_PTFT_POOLED_SUPP,"Percentage of part-time, first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2135,OMENRUP8_PTFT_POOLED_SUPP,"Percentage of part-time, first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2136,OMAWDP6_FTNFT_POOLED_SUPP,"Percentage of full-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size"
2137,OMAWDP8_FTNFT_POOLED_SUPP,"Percentage of full-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2138,OMENRYP8_FTNFT_POOLED_SUPP,"Percentage of full-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2139,OMENRAP8_FTNFT_POOLED_SUPP,"Percentage of full-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2140,OMENRUP8_FTNFT_POOLED_SUPP,"Percentage of full-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2141,OMAWDP6_PTNFT_POOLED_SUPP,"Percentage of part-time, not first-time student receiving an award within 6 years of entry, pooled in rolling averages and suppressed for small n size"
2142,OMAWDP8_PTNFT_POOLED_SUPP,"Percentage of part-time, not first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2143,OMENRYP8_PTNFT_POOLED_SUPP,"Percentage of part-time, not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2144,OMENRAP8_PTNFT_POOLED_SUPP,"Percentage of part-time, not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2145,OMENRUP8_PTNFT_POOLED_SUPP,"Percentage of part-time, not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2146,SCHTYPE,"Control of institution, per PEPS"
2149,OPEFLAG,Title IV eligibility type
2159,PRGMOFR,Number of programs offered
2160,CIPCODE1,CIP code of largest program
2161,CIPCODE2,CIP code of program #2
2162,CIPCODE3,CIP code of program #3
2163,CIPCODE4,CIP code of program #4
2164,CIPCODE5,CIP code of program #5
2165,CIPCODE6,CIP code of program #6
2166,CIPTITLE1,CIP text description of largest program
2167,CIPTITLE2,CIP text description of program #2
2168,CIPTITLE3,CIP text description of program #3
2169,CIPTITLE4,CIP text description of program #4
2170,CIPTITLE5,CIP text description of program #5
2171,CIPTITLE6,CIP text description of program #6
2172,CIPTFBS1,"Tuition, fees, books, and supply charges for largest program (full program)"
2173,CIPTFBS2,"Tuition, fees, books, and supply charges for program #2 (full program)"
2174,CIPTFBS3,"Tuition, fees, books, and supply charges for program #3 (full program)"
2175,CIPTFBS4,"Tuition, fees, books, and supply charges for program #4 (full program)"
2176,CIPTFBS5,"Tuition, fees, books, and supply charges for program #5 (full program)"
2177,CIPTFBS6,"Tuition, fees, books, and supply charges for program #6 (full program)"
2178,CIPTFBSANNUAL1,"Tuition, fees, books, and supply charges for largest program (annualized based on institution's academic year)"
2179,CIPTFBSANNUAL2,"Tuition, fees, books, and supply charges for program #2 (annualized based on institution's academic year)"
2180,CIPTFBSANNUAL3,"Tuition, fees, books, and supply charges for program #3 (annualized based on institution's academic year)"
2181,CIPTFBSANNUAL4,"Tuition, fees, books, and supply charges for program #4 (annualized based on institution's academic year)"
2182,CIPTFBSANNUAL5,"Tuition, fees, books, and supply charges for program #5 (annualized based on institution's academic year)"
2183,CIPTFBSANNUAL6,"Tuition, fees, books, and supply charges for program #6 (annualized based on institution's academic year)"
2184,MTHCMP1,Average number of months needed to complete largest program
2185,MTHCMP2,Average number of months needed to complete program #2
2186,MTHCMP3,Average number of months needed to complete program #3
2187,MTHCMP4,Average number of months needed to complete program #4
2188,MTHCMP5,Average number of months needed to complete program #5
2189,MTHCMP6,Average number of months needed to complete program #6
2190,POOLYRSOM_ALL,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_ALL_POOLED
2191,POOLYRSOM_FIRSTTIME,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_FIRSTTIME_POOLED
2192,POOLYRSOM_NOTFIRSTTIME,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_NOTFIRSTTIME_POOLED
2193,POOLYRSOM_FULLTIME,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_FULLTIME_POOLED
2194,POOLYRSOM_PARTTIME,Years used for rolling averages of outcome metrics OM[AWDP8/ENRAP8/ENRYP8/ENRUP8]_PARTTIME_POOLED
2195,OMENRYP_ALL,Percentage of all students that did not receive an award and are still enrolled at this institution 8 years after entry
2196,OMENRAP_ALL,Percentage of all students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry
2197,OMAWDP8_ALL,Percentage of all student receiving an award within 8 years of entry
2198,OMENRUP_ALL,Percentage of all students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry
2199,OMENRYP_FIRSTTIME,Percentage of first-time students that did not receive an award and are still enrolled at this institution 8 years after entry
2200,OMENRAP_FIRSTTIME,Percentage of first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry
2201,OMAWDP8_FIRSTTIME,Percentage of first-time student receiving an award within 8 years of entry
2202,OMENRUP_FIRSTTIME,Percentage of first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry
2203,OMENRYP_NOTFIRSTTIME,Percentage of not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry
2204,OMENRAP_NOTFIRSTTIME,Percentage of not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry
2205,OMAWDP8_NOTFIRSTTIME,Percentage of not first-time student receiving an award within 8 years of entry
2206,OMENRUP_NOTFIRSTTIME,Percentage of not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry
2207,OMENRYP_FULLTIME,Percentage of full-time students that did not receive an award and are still enrolled at this institution 8 years after entry
2208,OMENRAP_FULLTIME,Percentage of full-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry
2209,OMAWDP8_FULLTIME,Percentage of full-time student receiving an award within 8 years of entry
2210,OMENRUP_FULLTIME,Percentage of full-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry
2211,OMENRYP_PARTTIME,Percentage of part-time students that did not receive an award and are still enrolled at this institution 8 years after entry
2212,OMENRAP_PARTTIME,Percentage of part-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry
2213,OMAWDP8_PARTTIME,Percentage of part-time student receiving an award within 8 years of entry
2214,OMENRUP_PARTTIME,Percentage of part-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry
2215,OMENRYP_ALL_POOLED_SUPP,"Percentage of all students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2216,OMENRAP_ALL_POOLED_SUPP,"Percentage of all students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2217,OMAWDP8_ALL_POOLED_SUPP,"Percentage of all student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2218,OMENRUP_ALL_POOLED_SUPP,"Percentage of all students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2219,OMENRYP_FIRSTTIME_POOLED_SUPP,"Percentage of first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2220,OMENRAP_FIRSTTIME_POOLED_SUPP,"Percentage of first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2221,OMAWDP8_FIRSTTIME_POOLED_SUPP,"Percentage of first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2222,OMENRUP_FIRSTTIME_POOLED_SUPP,"Percentage of first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2223,OMENRYP_NOTFIRSTTIME_POOLED_SUPP,"Percentage of not first-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2224,OMENRAP_NOTFIRSTTIME_POOLED_SUPP,"Percentage of not first-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2225,OMAWDP8_NOTFIRSTTIME_POOLED_SUPP,"Percentage of not first-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2226,OMENRUP_NOTFIRSTTIME_POOLED_SUPP,"Percentage of not first-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2227,OMENRYP_FULLTIME_POOLED_SUPP,"Percentage of full-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2228,OMENRAP_FULLTIME_POOLED_SUPP,"Percentage of full-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2229,OMAWDP8_FULLTIME_POOLED_SUPP,"Percentage of full-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2230,OMENRUP_FULLTIME_POOLED_SUPP,"Percentage of full-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2231,OMENRYP_PARTTIME_POOLED_SUPP,"Percentage of part-time students that did not receive an award and are still enrolled at this institution 8 years after entry, pooled in rolling averages and suppressed for small n size"
2232,OMENRAP_PARTTIME_POOLED_SUPP,"Percentage of part-time students that did not receive an award and enrolled at another institution after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2233,OMAWDP8_PARTTIME_POOLED_SUPP,"Percentage of part-time student receiving an award within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2234,OMENRUP_PARTTIME_POOLED_SUPP,"Percentage of part-time students that did not receive an award and whose enrollment status is unknown after leaving this institution within 8 years of entry, pooled in rolling averages and suppressed for small n size"
2235,FTFTPCTPELL,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a Pell Grant"
2236,FTFTPCTFLOAN,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a federal loan"
2237,UG12MN,Unduplicated count of undergraduate students enrolled during a 12 month period
2238,G12MN,Unduplicated count of graduate students enrolled during a 12 month period
2239,SCUGFFN,"Number of full-time, first-time degree/certificate-seeking undergraduate students (denominator for percent full-time, first-time degree/certificate-seeking undergraduates receiving a pell grant or federal student loan)"
2240,POOLYRS_FTFTAIDPCT,Years used for rolling averages of FTFTPCTPELL_POOLED_SUPP and FTFTPCTFLOAN_POOLED_SUPP
2241,FTFTPCTPELL_POOLED_SUPP,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a Pell Grant, pooled in rolling averages and suppressed for small n size"
2242,FTFTPCTFLOAN_POOLED_SUPP,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students awarded a federal loan, pooled in rolling averages and suppressed for small n size"
2243,SCUGFFN_POOLED,"Number of full-time, first-time degree/certificate-seeking undergraduate students (denominator for percent full-time, first-time degree/certificate-seeking undergraduates receiving a pell grant or federal student loan), pooled in rolling averages"
2244,PPLUS_PCT_LOW,Lower bound of estimated percentage range of students whose parents took out a PLUS loan
2245,PPLUS_PCT_HIGH,Upper bound of estimated percentage range of students whose parents took out a PLUS loan
2246,PPLUS_PCT_LOW_POOLED_SUPP,"Lower bound of estimated percentage range of students whose parents took out a PLUS loan, pooled in rolling averages and suppressed for small n size"
2247,PPLUS_PCT_HIGH_POOLED_SUPP,"Upper bound of estimated percentage range of students whose parents took out a PLUS loan, pooled in rolling averages and suppressed for small n size"
2248,POOLYRS_PLUSPCT,Years used for rolling averages of PPLUS_PCT_LOW_POOLED_SUPP and PPLUS_PCT_HIGH_POOLED_SUPP
2249,PLUS_DEBT_INST_N,Student recipient count for median PLUS loan debt disbursed at this institution
2250,PLUS_DEBT_INST_MD,Median PLUS loan debt disbursed at this institution
2251,PLUS_DEBT_ALL_N,Student recipient count for median PLUS loan debt disbursed at all institutions
2252,PLUS_DEBT_ALL_MD,Median PLUS loan debt disbursed at all institutions
2253,PLUS_DEBT_INST_COMP_N,Student recipient count for median PLUS loan debt disbursed to completers at this institution
2254,PLUS_DEBT_INST_COMP_MD,Median PLUS loan debt disbursed to completers at this institution
2255,PLUS_DEBT_INST_COMP_MDPAY10,Median estimated monthly payment for PLUS loan debt disbursed to completers at this institution
2256,PLUS_DEBT_INST_COMP_MD_SUPP,"Median PLUS loan debt disbursed to completers at this institution, suppressed for n=30"
2257,PLUS_DEBT_INST_COMP_MDPAY10_SUPP,"Median estimated monthly payment for PLUS loan debt disbursed to completers at this institution, suppressed for n=30"
2258,PLUS_DEBT_ALL_COMP_N,Student recipient count for median PLUS loan debt disbursed to completers at all institutions
2259,PLUS_DEBT_ALL_COMP_MD,Median PLUS loan debt disbursed to completers at all institutions
2260,PLUS_DEBT_ALL_COMP_MDPAY10,Median estimated monthly payment for PLUS loan debt disbursed to completers at all institutions
